ID,abbreviation,question,categories
1,Handwashing,Today is national handwashing day! Do you have access to a handwashing facility (with soap and water) at your workplace or school? Please reply with YES or NO,"yes,no,unknown"
2,Safe Water,First Question: Is there a safe water source within a 10 minute walk from your home? Send a reply SMS with YES or NO (it's free!),"yes,no,unknown"
5,Save Lives,If you could tell your leaders to do ONE THING to save the lives of women and children in Uganda – what would it be?,""
6,Future Children,When you think about the future of Uganda: what would you like your children to have that you didn't have?,""
9,Mosquito Net,This week's uReport poll: Do children in your family sleep under a mosquito net at home? Please send YES or NO. Responses are free! From UNICEF & UgandaScouts,"yes,unknown,no"
21,Water Point Availability,uReport is doing a water availability survey:Go to the borehole or community tapstand nearest your home.Is it giving water?Text YES or NO by end of Wednesday.,"yes,no,unknown"
11,Reporting District,Tell us the district you are reporting from.Please only type the name of the district.Responses to uReport are free!From UNICEF and Uganda Scouts Association,""
12,School Walking Distance,Today's uReport poll: Is there a primary/secondary school within a 15 minute walk of your home? Text YES or NO. The message is free from UNICEF & UgandaScouts,"unknown,no,yes"
17,District poll 2 - 25 Nov 2010,hey uReporters!Tell us the district you are reporting from.Please only type the name of the district.Responses to uReport are free!From UNICEF and Uganda Scouts,""
132,Justice: Children safe from harm,"""67%% said “NO” to the last poll.  What can the police, child probation officers and magistrates do to keep children safe from harm? UNICEF and partners""",""
130,Education (strike freeform),"Hi Ureporter.  61%% of Ureporters said YES, the teachers' strike is justified. 29%% said NO it is not. What is your reason for YES or NO in the last poll?",""
18,World AIDS Day,Yesterday was World AIDS Day.How can you help reduce HIV infections in Uganda? Text your ideas free to uReport.The best ideas will be shared!UNICEF&UgandaScouts,""
29,Elections,Hello uReporters! Elections are on the 18th Feb. Everyone has the right to vote! Are you a registered voter? Please respond with a YES/NO ,"yes,no,unknown"
22,VAW Opinion,Hello uReporters! Do you think violence against women is a problem in your community? Please respond with YES or NO by tomorrow. Poll results to follow.,"yes,no,unknown"
23,New Year's Resolution,Hello uReporters! It's 2011. Do you have a New Year's resolution? Do you have any resolutions to help your community this year? Share your ideas with us!,""
30,Reporting District,Our aim this year for uReport is 2 cover all Districts and Villages in Uganda. Please text ONLY THE NAME of the District you are reporting from. Thanks! ,""
31,Elections,Hello uReporters! What is the importance of voting to you as a citizen? Text us your response for free. The best responses will be shared! UNICEF & UgandaScouts,""
131,Justice 4 Children,Hello Ureporter! Do you think children and young people get fair treatment from the community where they live? Reply with YES or NO. UNICEF & Partners,"yes,no,unknown"
39,Preparation for the Drought ,"Hello Ureporters! Our 1st Q is from Emma in Lira, she wants 2 know ""How can our communities prepare 4 the long drought"". SMS ur reply 4 free! UNICEF & UGScouts",""
41,Balanced diet,"Hello Ureporters! Our 2nd Q is from Paul in Kampala, he wants 2 kno ""What is a balanced diet? What should pple do 2 avoid malnutrition?""FreeSMS! UNICEF&UGScouts",""
135,CHD Rainy Season ,Hi Ureporter. What effect has the heavy rain had on the health of children and youth?,""
49,Breastfeeding,Hello Ureporter! What r u doing in ur community to encourage & support best breastfeeding practices? Best examples will b shared. SMS FREE! UNICEF&UGScouts,""
133,J4C Announcement Responses,"Change-maker,thank you for your response.The Chief Justice just launched an program to protect the rights of children.Your voice matters!Best answer 2 follow. ",""
320,Marburg prevention # Mb'ra,To prevent Marburg AVOID CONTACT with wild animals including bats & monkeys. Do not eat monkey meat.,""
134,Best Response: safe from harm,"Hi Ureporter. Best response was Ruth who said ""They must sensitise people about child sacrifice,respect of children's rights and to keep law and order""",""
32,Elections,Hello uReporters! What actions r u taking as a Scout 2 spread peace & avoid violence during election period? Best responses will b shared! UNICEF & UgandaScouts,""
38,Proposed Poll Question,We r asking u 2 advise us on the next Ureport poll! Best Qs on Health & Nutrition will b sent out as Polls next week. Poll closes in 24hrs. UNICEF & UGScouts,""
42,Food management,"Hey Ureporters! Titus in Iganga wants 2 knw ""How r u helping pple in ur community manage food during dry seasons?"" Best responses will b shared! UNICEF&UGScouts",""
48,Child immunisation,Hello Ureporter! Have all the children in your family been fully immunized? Please respond with a YES or NO.  SMS is free! UNICEF & UGScouts,"yes,no,unknown"
82,Justice & Law - suggestions,"Hi,thanks for ur inputs.What can the police,probation officers,LCs,prosecutors & magistrates do to help children who experience or fear violence?UNICEF&Partners",""
136,CHD - Malaria,Many U-reporters mentioned malaria in the last poll.  Last time you had malaria did you take medicine? Answer YES or NO. ,"yes,no,unknown"
119,Cooking fuel,"What cooking fuel is used by most people in ur community?1.Electricity,2.Kerosene,3.Firewood,4.Charcoal,5.Biogas,6.Others.Reply with number.UNICEF,Partners&BYU","elec,Kerosene,Firewood,Charcoal,Biogas,other"
127,Inflation,"Hi Ureporter, do you think the current prices of food, fuel and sugar will reduce soon? Reply with YES/NO. UNICEF & Partners. ","yes,no,unknown"
128,Inflation,"Results of the inflation poll states 70.5%% of Ureporters said prices will not reduce soon.What are you doing to manage the high prices of food, fuel and sugar?",""
129,Education- Teacher's Strike,Do you think the teachers strike is justified? Reply with YES or NO. UNICEF & Partners.,"yes,no,unknown"
47,Child Days Plus,Hello Ureporters! The 1st Child Days Plus was April 1st! How can u help ur community PROTECT & DEVELOP CHILDREN's HEALTH. Best responses will b shared! UNICEF,""
46,Child Days Plus,Hello Ureporters! The 1st Child Days Plus was April 1st! How can u help ur community PROTECT & DEVELOP CHILDREN'S HEALTH. Best responses will b shared! UNICEF,""
74,Women's Health Day,Hello Ureporters! May12th is Women's Health Day! What can u do 2 reduce health problems associated with women in ur community? Best Reply will b shared!UNICEF,""
75,Challenges women face,"Hello Ureporters! We want to know, what r the challenges that women face in ur community? Responses will be shared! SMS FREE. UNICEF",Ebola
83,Early marriage,"Hello, change maker. What is the earliest age girls get married in your community? Please reply with an age. UNICEF & Partners",""
76,Health Care Service,Hello Ureporters! We want to know is the health center nearest your home stocked with medicine? Please respond with YES or NO. It's FREE! UNICEF,"yes,no,unknown"
77,Justice and law week - violence,We want your views on Justice&Law to advocate for change.Have u witnessed violence against children & youth in your community?Reply with YES/NO.UNICEF&Partners,"yes,no,unknown"
81,Justice&Law-types of violence4,Hello 85% of Ureporters have seen violence against children&youth-what kinds of violence against children&youth have happened in your community?UNICEF&Partners,"unknown,labour,abuse,corporal punishment,rape, defilement, sexual abuse,early or forced marriage,denial of food,neglect"
88,Child Labour,"Dear Change maker, What kind of labour would you consider Child Labour, or work that is inappropriate for children? UNICEF, Partners & Brigham Young University",""
87,Poll topic suggestions,"Hi Agent of change, what issues about the community would you like your fellow UReporters to address? UNICEF & Partners.",""
90,Environmental degradation ,"Hi change maker, does development result in Environmental degradation in your community? Reply with YES / NO. UNICEF, Partners & Brigham Young University.","yes,no,unknown"
92,School dropout,"Dear change maker, which class do most children drop out of school from in your community? UNICEF, Partners and Brigham Young University.","P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,S7"
93,International Youth Day,"Today is International youth day!Theme:Accelerating Youth Empowerment thru skills development.How can youth create employment opportunities?UNICEF,Partners&BYU",""
94,International Youth Day,"Today is International youth day!Theme:Accelerating Youth Empowerment thru skills development.How can youth create employment opportunities?UNICEF,Partners&BYU",""
137,CHD - No Malaria Drugs,"Hi Ureporter, you said ""no"" to the last poll. What was the reason you did not take medicine last time you had malaria?",""
138,CHD - Malaria MoH,"Lack of money & no drugs at facility r replies for ""no"" malaria medicine.Reply & Ureport will tell the Ministry of Health about the problems you face.",""
142,Maternal Health (free-form),Most women get antenatal care when pregnant.Where do women in your community go for this?Answer 1)HOSPITAL 2)Midwife or  TBA 3)HEALTH CENTER 4)HOME,"Unknown,TBA,Home,Hospital,Health Center"
143,Maternal Health: Results,"51% get ANC from Health Center,27%Hospital,9%TBA,8% Home.Ureport encourages women to get antenatal care from a health centre or hospital.Pls encourage this too",""
141,Maternal Health,"Hello Ureporter. Tell us, do pregnant women attend ante-natal care in your community? Answer YES or NO","yes,no,unknown"
140,Best Response: Ureporters,"Ruthiana,Gulu said “Its the best way we can express feelings and share ideas with others around the country”.U will hear her on a Ureport radio advert soon!",""
139,Ureport Feedback.,"We now have 33,000 Ureporters in Uganda!! Thank you all :) To mark this great day tell us what you think of Ureport and how we can improve Ureport.",""
144,Parental Support,Today’s youth receive less financial and emotional support from parents than they did 10-20 years ago. Is this true YES or NO?,"yes,no,unknown"
149,NDoP best response,"The best message from the last poll is from U-reporter Aguta,Arua: ""Children it is ur right to live & get protection from abuse, live healthier lives and learn""",""
145,MP Question,"Hi Ureporters.Tell us a question that you want to ask MPs.Ureport will select the best question,ask it to 3 MPs & put their answers in the newspaper for u soon",""
147,New Vision Artilce - Nov 7th,Hi Ureporters.See Monday’s New Vision for this week’s best poll responses & MP's answers.After u have seen it send Ureport an SMS to let us know what u think.,""
146,School Drop-out,"Robbinah from Kyegegwa says ""Good luck to seniors taking exams but what can be done to help those who have dropped out of school already?"" ",""
148,NDoP - Message for children,19 Nov is National Day of Prayer for zero tolerance of violence against children.What message would u want to share with the children of Uganda on this day?,""
150,District Update,We will notify you when free vaccinations come to the place where u stay so please tell us the district where u live. Reply ONLY with your DISTRICT,""
157,Violence ag. Women,Do you think it is OK to beat a woman? Answer YES or NO. Your answer remains private. U-report.,"yes,no,unknown"
156,"40,000 + New Vision","U-report is now 40000 voices strong!Remember to see the New Vision tomorrow to see MPs answer U-reporter questions from Mackon-Mblae,Ayen-Abim & Alex-Kiryadongo",""
155,National Day Of Prayer Alert,Tomorrow is the National Day of Prayer. Will you join us in praying for the end of violence against children in Uganda? Answer YES or NO.,"yes,no,unknown"
158,Violence against men,"84% say it is NOT ok to beat a woman. But what about men, is it OK to beat a man? Answer YES or NO","yes,no,unknown"
160,Gender Violence Results,"83% say its NOT ok to beat a woman or man but 8% disagree.U-reporter from Arua says to u ""if there's a problem u need to sit down and talk about it amicably!""",""
162,World AIDS Day,Hi U-reporters.Go to your local health centre and tell us:Do they give free HIV/AIDS tests? Report YES or NO and HEALTH CENTER NAME,"yes,no,unknown"
163,World Aids Day2,78% of U-reporters say their health centre does have free HIV/AIDS tests! Have you taken an HIV/AIDS test this year? Answer YES or NO,"yes,no,unknown"
164,Agriculture/Apirations,Hi U-reporter. Research shows that 1 in 4 Ugandan youth are farmers. Do you want to be a farmer in the future? Answer Yes or No.,"yes,no,unknown"
165,Barriers to Farming,"Of the following, what do you think frustrates farmers the most?a)Climate,b) Pests and Diseases,c) Poor farming methods, d)Lack of land,e)Lack of capital?","climate,Poor farming methods,Lack of land,Lack of capital,Pests and Diseases"
166,UBCTV Programme,Hi U-reporters! Watch UBC tonight at 7:30 to see the 1st ever U-report TV programme. After u have watch let us know what you think: GOOD or BAD and Why.,""
181,Education - community support,Most U-reporters know children not in school.What can u or your community do to ensure these children go to school? Best responses will be shared.U-report & GEM,""
175,U-reporter suggestions 2012,Hi U-reporters. As we get ready for 2012 tell us what issues that affect children and youth you would like to discuss. Results will be shared.,""
176,Electricity,Which area has been affected the most by electricity load shedding? Reply with ONE of 1)Education 2) Health 3)Social Life 4)Business 5)Security,"Education,Health,Social Life,Business,Security"
167,Road Safety,U-reporter.How r the roads in ur district?Answer ONLY 1 of the following: a)Very Good b)Good c)OK d)Bad e)Very Bad.We'll let u know the best and worse districts,"Very Good,Good,Ok,Bad,Very Bad"
177,Alternative Power,"50.5% said business was affected most by load shedding.What alternative energy sources have you used to cope with the load
shedding and was it a success?",""
182,Education Results,"Patrick, Amuru says we need “community sensitization on the benefits of educating a child then police, LCs, elders, religious/clan leaders should enforce it”. ",""
178,Solar Power Equip Availability,"12,409 U-reporters responded to the poll.3000 used solar to cope with load shedding.But what about u: is solar equipment available in ur area? Answer YES or NO","yes,no,unknown"
171,New Yrs Resolution,Tell us your New Years resolutions and the best ones will be share,""
173,New Yrs Best Responses,"Best Responses:Joe,Amuria says""To work harder,love better and think smarter"".Loy,Mpigi says""I want 2 be a woman of my word,faithful,hardworking and determined""",""
180,Education - child attendance,"Do you know of any children in your community that are of school going age but are not in school? If yes, how many do you know?",""
179,Solar Poll Results,"Only 43% of U-reporters have solar equipment in their area. Ivan,Kapchorwa can’t get solar so uses biogas.Jon,Kampala also says economically biogas is the best",""
186,FGM - Culture,"6th Feb is day of zero tolerance to female circumcision.We know its illegal but is still practiced so is the culture more important than the law?YES or NO
","yes,no,unknown"
184,FGM - Awareness,"Hi U-reporter,6th February is International Day of Zero Tolerance to Female Genital Mutilation. Do u know female circumcision is illegal? Reply with YES or NO","yes,no,unknown"
185,FGM Alert,"76% know female circumcision is illegal.Sjoyo,24 says ""Yes its very illegal because it can cause death due too excessive bleeding"". This is true.",""
189,Nodding Disease,Hi U-reporters.We received many questions about nodding disease in the North.We have asked Ministry of Health your questions & we will update u soon.UNICEF,""
187,FGM Culture Results,"Hi U-reporters.19,294 answered.63% say law is more important than culture.Big Man Deno, Kapchorwa is worried culture makes people forget about health.",""
188,MPs Questions Q1 2012,"Ask the MPs about issues to do with children and youth.Let U-report know ur questions,we'll ask as many as we can and put the MPs answers in the newspaper for u",""
191,District II,We will notify you when free health services come to the place where u stay so please tell us the district where u live.Reply ONLY with your DISTRICT,""
194,Nodding - Need for info,The World Health Organisation and Ministry of Health has given U-report a nodding disease update.Wld u like to receive this information?Reply with YES or NO,"yes,no,unknown"
190,Nodding Disease - North Region,Hi U-reporters.We received many questions about nodding disease in the north.We have asked Ministry of Health ur questions & we will update u soon.UNICEF,""
195,Nodding Symptoms,"Nodding disease is a new form of epilepsy.Symptoms are head nodding,seizures and staring spells.When it happens the child stops feeding and does not respond.",""
196,Nodding treatment,Nodding disease is treated with 'anti-epileptic drugs'.Children that have nodding disease can live a normal life if they take the drug the way the doctor says,""
197,Nodding Health Centres,"Ministry of Health is putting nodding treatment centres at Padibe HC IV,Lamwo District, Kitgum Hospital,Kitgum District, and Pajule HC IV in Pader District",""
198,Nodding Feedback,We have given u information about nodding disease on behalf of the Ministry of Health & World Health Org. Did you find this information helpful.YES or NO?,"yes,no,unknown"
204,Youth Fund Application,"Hi U-reporter.Are you, or anyone you know, applying for the Youth Fund? Answer YES or NO. Nice weekend :)","yes,no,unknown"
200,Youth Fund,"Hi U-reporters. Do you think the Youth Fund will help the youth in your community? Answer YES or NO, and tell us why.","yes,no,unknown"
220,School Lunch,"Hi U-reporters. Is it important to provide lunch to children in primary schools? Yes or no, and who should provide it? From Hon.Baba Diri Margaret, Koboko Dist","yes,no,unknown"
205,Youth Fund Participation Results,"Hi U-reporter,44% said they are not applying for the Youth Fund.35% said they are.Otim James from Soroti said he is not applying because of the requirements",""
212,B&D results,Most U-reporters don't know where their registry office is.U go to the sub-county office. Congrats to Budaka & Gomba who had the highest response rates!!,""
219,Sex Ed Results,"Most U-reporters (77%) said yes to the last poll. Esther from Rakai said ""Yes bcoz our childn know isues about sex dats why we need 2 educate them about risks""",""
463,BBW publication,We told Min of Agric abt U-reporters & BBW so they gave us lots of info to help farmers. Its too much 4 SMS so we put it in Daily Monitor for u today (Apr 25),""
201,Youth Fund Results,"37% said Youth Fund will help youth.42% say it wont.Youth MP Ogwang Peter answered U-reporter Walter’s question ""what is Youth Fund about"".Reply for his answer",""
202,Youth Fund Criteria,Do you know the requirements needed to get money from the Youth Fund? If u know then tell us so we can share your answers with other U-reporters.,""
203,Youth Fund criteria results,"Mimi says to get Youth Fund ""u must hv a registered company,training,viable biz proposal,2 responsible guarantors,1 o'level,btn 18-35 yrs & proof of age"" ",""
207,B&D Reg,Hi U-reporter. Do you know that birth and death should be officially registered? Answer YES or NO,"yes,no,unknown"
213,Nutrition - Breast Feeding,What food or drink should be given to babies under the age of 6 months? Best answer will be shared.,""
217,TV Channel,"The U-report TV show is back soon to address issues u have raised. What TV stations do you get in your area even if u dont own a TV? a) UBC, b) NTV, c) WBS","ubc,ntv,wbs"
218,Sex Education,Do u believe that young people should be educated at school about the risks involved with sex? Answer Yes or No and why.,"yes,no,unknown"
210,New Vision,"Hi U-reporter.Pls see New Vision tomorrow (April 3rd, page 16 and 17)to see poll results and some of ur questions answered by MPs.Pls tell us what u think of it",""
211,Location for Birth Registration ,Do you know where to register births and deaths in your district? Reply with YES or NO and where the office is located.,"yes,no,unknown"
214,Parents Message ,Do you have children? Answer Yes or No,"unknown,yes,no"
221,Yumbe UPE ,"U-reporters of Yumbe.Please suggest how we can improve children's UPE performance in Yumbe District. From UNICEF on behalf of Hon. Oleru Huda Abason. MP, Yumbe.",""
215,ECD,"Dear change maker, please note that children below 8 years need good environment & support for their development in Early Childhood Development Centres (ECDs)",""
216,Youth Fund Olevel Certificate ,"Hi Ureporter, we are happy to inform you that after raising your concerns on the Youth Fund, the requirement of an Olevel certificate has been removed.",""
222,School Lunch ,"63% said lunch should be provided by parents, 21% said government, and 16% said schools. Responses have been given to Hon.Baba Diri to take further action.",""
224,Disabled Ed Results,"Only 28% said yes e.g. gov has built deaf/blind schools  in Mbale but Danie, Moroto says ""Not at all, de blind miss reading machines and deaf miss translators""",""
223,Disability & Education,Do you think Government has done enough to promote inclusive education for children and youth living with disabilities? YES or NO and Why?,"yes,no,unknown"
240,Namutumba performance,"U-reporters! Our district did not perform well in PLE, O & A Level exams last year. How can performance be improved? Hon. Mutyabule Florence, Mp Namutumba dist.",""
225,J4C - Notice of messages,"Hello, we want to work with you to improve justice in Uganda for children so tomorrow we will be asking you about your experiences with the justice services.",""
234,Immunisation ,Prescilia Aloyo form Amuru says there must be a law put in place and government should also start training VHTs to practice door to door immunization.,""
226,Justice for Children ,"Which of the following have you been to police ,probation office ,local council(LC) , or none ? ","police,lc,probation,none"
227,J4C - in contact with law,Were you a) victim of a crime? b) witness in a case? c) accused of an offence? d) visiting for other services? ,"yes,no,unknown,victim,witness,accused,other"
228,J4C experience,"How was the service you were given?  a) Very good b) good, c) fair, d) Bad, e) very bad. What is the reason for your answer?","very good,good,fair,bad,very_bad"
208,Birth Certificate ,Do you have a birth certificate? Yes or No ,"yes,no,unknown"
235,New Vision - Disabilities,"See the New Vision pages 16 & 17 tomorrow (Thursday) to see a story about a U-reporter, poll results & some of ur questions answered by MPs.Tell us what u think",""
229,Peace Cup,"Hello U-reporter Gulu! Do you think that football is a good way to promote peace? YES or NO and why

","yes,no,unknown"
231,Immunisation - polio + measles,"U-reporters! Get ur children vaccinated against Polio and Measles for FREE at any health centre Saturday, Sunday or Monday. Tell parents in ur community.",""
243,Rio+20 Cllimate Change,Rio+20:What do u see changing in the climate and what should Government do about it? a)More flooding b) more drought c) loss of forests. ,"More Flooding,Loss of Forests,More Drought"
232,Immunization ,Why don't some parents where you stay take their children for immunization even while it is free?,""
236,Water Points L3M,"If you get water from a well, borehole or community tap, is it working today? YES or NO and include VILLAGE name.","yes,no,unknown"
233,Immunisation - how to improve,"CustomCorner,Gulu says ""They say 'ignorance is a disease'. Immunisation can be life saving” What can we do to make sure all children in Uganda get vaccinated?",""
241,Rio+20 - Millennium Goal,"Rio + 20: Do you think the Millennium Development Goals have been achieved? YES or NO. If yes, what are the successes, if No what are the failures?","yes,no,unknown"
238,Water point - Results,"53% of U-reporters have access to water points, but 35% don't. Gerald from Gulu says ""I get water from borehole, it is working but when it rains it gets dirty""",""
239,Rio+20 Notice,"Rio+20 is an international conference on ur future. Make ur voice heard! Results of questions beginning ""Rio+20"" will be sent to a U-reporter rep in Rio, Brazil",""
242,Rio+ Uganda's Future,"Rio+20: What is more important for Uganda's future and why, is it A) more foreign aid or B) more money generated from our own economy?","More Foreign Aid,More Money Generated From Economy,other"
245,Rio +20,Rio+20 : The Outcome Document from Rio+20 urges governments to provide good jobs for youth . What can the government do to make this happen?,""
244,Rio+20 poll results,"Rio+20: 52% of U-reporters said loss of forests is a threat, 62% said money generated from economy is better than foreign aid,and 71% say MDGs are still lacking",""
246,Rio +20 Unemployment ,"Moses from Lugazi suggests,  ""Government should revise retirement age, support agriculture, private sector,...and lower taxes.""",""
248,Family Health Days -Awareness,"Have you heard of ""Family Health Days"" YES or NO? Respond to find out about free health services in your district .","yes,no,unknown"
251,Sunday FHD reminder - 8 dists,Hi U-reporter in Kitgum.We remind u of Family Health Day (FHD) services going on at churches around ur District today.In case of any help please send in a text,""
249,Family Health Days -Information ,"FREE vaccinations, birth certificates, vitamins will be provided on the Family Health Days at mosques and churches on Friday and Sunday by Ministry of Health.",""
250,FHD - Real-time notification,SMS U-report  from 9 am to 5pm today and Sunday if you have questions about Family Health Days or trouble getting the free services.,""
253,FHDs follow up,Did you go to Family Health Days last weekend? YES or NO.,"unknown,no,yes"
